strategy,precision,recall,f1,accuracy,judgements,correct,avg_input_tokens,avg_output_tokens,avg_total_tokens,input_token_reduction_pct,cost_reduction_pct,strategy_label
S3_fields,0.7157738095238095,0.6724137931034483,0.6550860719874805,0.6724137931034483,58,39,1124.5,158.33333333333334,1282.8333333333333,92.02562390303576,89.09171506836859,S3 – Field extraction
S4_hybrid,0.7589285714285714,0.7068965517241379,0.6913928012519561,0.7068965517241379,58,41,1335.75,157.33333333333334,1493.0833333333333,90.52754746863496,87.67148978733562,S4 – Hybrid
S5_extended,0.7052767052767053,0.6896551724137931,0.6836363636363636,0.6896551724137931,58,40,4957.25,179.91666666666666,5137.166666666667,64.84573062990124,62.51150842814763,S5 – Extended extraction
S2_sections,0.8062111801242235,0.7931034482758621,0.7908653846153846,0.7931034482758621,58,46,9179.75,188.58333333333337,9368.333333333334,34.90193065708528,33.53754873322043,S2 – Section filtering
S1_full,0.8295454545454546,0.8103448275862069,0.8075414781297134,0.8103448275862069,58,47,14101.416666666666,187.25,14288.666666666666,0.0,0.0,S1 – Full text
