from_strategy,to_strategy,from_strategy_label,to_strategy_label,from_input_tokens,to_input_tokens,token_change,token_change_pct,from_f1,to_f1,f1_change,f1_change_pct
S1_full,S2_sections,S1 – Full text,S2 – Section filtering,14101.416666666666,9179.75,-4921.666666666666,-34.90193065708528,0.8075414781297134,0.7908653846153846,-0.01667609351432886,-2.0650448262981014
S2_sections,S3_fields,S2 – Section filtering,S3 – Field extraction,9179.75,1124.5,-8055.25,-87.75021106239276,0.7908653846153846,0.6550860719874805,-0.1357793126279041,-17.168448040488787
S3_fields,S4_hybrid,S3 – Field extraction,S4 – Hybrid,1124.5,1335.75,211.25,18.786127167630056,0.6550860719874805,0.6913928012519561,0.036306729264475646,5.542283803153353
S4_hybrid,S5_extended,S4 – Hybrid,S5 – Extended extraction,1335.75,4957.25,3621.5,271.12109301890325,0.6913928012519561,0.6836363636363636,-0.007756437615592526,-1.1218568665377149
