strategy,strategy_label,documents,mean_f1,median_f1,std_f1,min_f1,max_f1
S1_full,S1 – Full text,12,0.7325396825396826,0.7666666666666667,0.25579116705509375,0.3333333333333333,1.0
S2_sections,S2 – Section filtering,12,0.7235119047619047,0.7333333333333334,0.25766547670775297,0.3333333333333333,1.0
S3_fields,S3 – Field extraction,12,0.6015873015873016,0.4857142857142857,0.2987180286842963,0.2857142857142857,1.0
S4_hybrid,S4 – Hybrid,12,0.6384920634920634,0.625,0.27108437455817197,0.3333333333333333,1.0
S5_extended,S5 – Extended extraction,12,0.6093253968253968,0.625,0.2384206830631086,0.3333333333333333,1.0
