strategy,strategy_label,precision,recall,f1,accuracy,judgements,correct
S1_full,S1 – Full text,0.8295454545454546,0.8103448275862069,0.8075414781297134,0.8103448275862069,58,47
S2_sections,S2 – Section filtering,0.8062111801242235,0.7931034482758621,0.7908653846153846,0.7931034482758621,58,46
S3_fields,S3 – Field extraction,0.7157738095238095,0.6724137931034483,0.6550860719874805,0.6724137931034483,58,39
S4_hybrid,S4 – Hybrid,0.7589285714285714,0.7068965517241379,0.6913928012519561,0.7068965517241379,58,41
S5_extended,S5 – Extended extraction,0.7052767052767053,0.6896551724137931,0.6836363636363636,0.6896551724137931,58,40
