strategy,strategy_label,documents,runs,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_input_cost,avg_output_cost,avg_total_cost,all_run_avg_input_tokens,all_run_avg_output_tokens,all_run_avg_total_tokens,all_run_avg_total_cost,input_token_reduction_pct,cost_reduction_pct
S1_full,S1 – Full text,12,3,14101.416666666666,187.25,14288.666666666666,0.07050708333333333,0.002808749999999999,0.07331583333333334,14101.416666666666,188.33333333333334,14289.75,0.07333208333333334,0.0,0.0
S2_sections,S2 – Section filtering,12,3,9179.75,188.58333333333334,9368.333333333334,0.045898749999999995,0.0028287499999999997,0.0487275,9179.75,183.77777777777777,9363.527777777777,0.04865541666666666,34.90193065708528,33.53754873322043
S3_fields,S3 – Field extraction,12,3,1124.5,158.33333333333334,1282.8333333333333,0.0056225,0.002375,0.007997500000000001,1124.5,162.25,1286.75,0.00805625,92.02562390303575,89.09171506836859
S4_hybrid,S4 – Hybrid,12,3,1335.75,157.33333333333334,1493.0833333333333,0.006678750000000001,0.00236,0.009038750000000002,1335.75,160.11111111111111,1495.861111111111,0.009080416666666667,90.52754746863495,87.67148978733562
S5_extended,S5 – Extended extraction,12,3,4957.25,179.91666666666666,5137.166666666667,0.02478625,0.0026987499999999998,0.027485,4957.25,173.19444444444446,5130.444444444444,0.027384166666666664,64.84573062990124,62.511508428147636
